# Constructed from biom file,,
#OTU ID,Taxon,V15L
4481323,Lactobacillus; s,232842
4330240,Lactobacillus; s,96
255367,Lactobacillus; s,78
4483799,Lactobacillus; s,77
128300,Lactobacillus; s,63
134792,Lactobacillus; s,40
128232,Lactobacillus; s,35
137630,Lactobacillus; s,29
131921,Lactobacillus; s,24
851925,Lactobacillus; s,21
129674,Lactobacillus; s,16
851603,Lactobacillus; s,15
133075,Lactobacillus; s,13
258477,Ureaplasma; s,12
133599,Lactobacillus; s,10
47365,Lactobacillus; s,6
133039,Lactobacillus; s,6
133065,Lactobacillus; s,5
1125794,Methylobacterium; s,4
820687,Lactobacillus; s,3
134726,Lactobacillus; s,3
3769085,Gardnerella; s,2
130468,Lactobacillus; s,2
134053,Lactobacillus; s,2
130264,Lactobacillus; s,2
134049,Lactobacillus; s,2
137021,Lactobacillus; s,2
532097,Actinomycetales; f,1
15128,Lactobacillus; s,1
254011,Lactobacillus; s,1
537734,Lactobacillus; s,1
15806,Ureaplasma; s,1
4379605,Enterobacteriaceae; g,0
1904497,Peptostreptococcaceae; g,0
181587,Peptostreptococcaceae; g,0
359086,Planococcaceae; g,0
292398,Enterobacteriaceae; g,0
1792753,Beutenbergiaceae; g,0
325712,Enterobacteriaceae; g,0
3800028,Enterobacteriaceae; g,0
287663,Enterobacteriaceae; g,0
173654,Enterobacteriaceae; g,0
880153,Xenococcaceae; g,0
4396610,Moraxellaceae; g,0
4301602,Enterobacteriaceae; g,0
305760,Enterobacteriaceae; g,0
4461775,Enterobacteriaceae; g,0
654086,Enterobacteriaceae; g,0
4358157,Enterobacteriaceae; g,0
932737,Enterobacteriaceae; g,0
829589,Rhizobiales; f,0
301105,Enterobacteriaceae; g,0
4374799,Enterobacteriaceae; g,0
782953,Enterobacteriaceae; g,0
687142,Enterobacteriaceae; g,0
744068,Streptophyta; f,0
307080,Enterobacteriaceae; g,0
1022160,Planococcaceae; g,0
788790,Enterobacteriaceae; g,0
3029119,Enterobacteriaceae; g,0
464072,Enterobacteriaceae; g,0
704845,Enterobacteriaceae; g,0
91567,Enterobacteriaceae; g,0
258793,Enterobacteriaceae; g,0
270151,Enterobacteriaceae; g,0
302808,Enterobacteriaceae; g,0
668514,Enterobacteriaceae; g,0
4337654,Enterobacteriaceae; g,0
3529444,Enterobacteriaceae; g,0
329008,Enterobacteriaceae; g,0
10112,Enterobacteriaceae; g,0
138389,Enterococcaceae; g,0
735702,Enterobacteriaceae; g,0
198239,Enterobacteriaceae; g,0
1061628,Enterobacteriaceae; g,0
301645,Enterobacteriaceae; g,0
809808,Enterobacteriaceae; g,0
615792,Enterobacteriaceae; g,0
722036,Enterobacteriaceae; g,0
4381411,Enterobacteriaceae; g,0
690251,Enterobacteriaceae; g,0
4466590,Streptophyta; f,0
1876042,Enterobacteriaceae; g,0
254888,Comamonadaceae; g,0
261162,Enterobacteriaceae; g,0
302846,Enterobacteriaceae; g,0
761322,Enterobacteriaceae; g,0
348680,Enterobacteriaceae; g,0
789812,Enterobacteriaceae; g,0
672456,Enterobacteriaceae; g,0
4402785,Enterobacteriaceae; g,0
1126318,Enterobacteriaceae; g,0
1085151,Enterobacteriaceae; g,0
808543,Enterobacteriaceae; g,0
71336,Enterobacteriaceae; g,0
772515,Lactobacillales; f,0
91557,Enterobacteriaceae; g,0
4461842,Enterobacteriaceae; g,0
666757,Enterobacteriaceae; g,0
4062645,Enterobacteriaceae; g,0
811811,Enterobacteriaceae; g,0
2065611,Streptophyta; f,0
4428159,Enterobacteriaceae; g,0
3777824,Enterobacteriaceae; g,0
311541,Enterobacteriaceae; g,0
3210911,Enterobacteriaceae; g,0
900973,Neisseriaceae; g,0
3835926,Enterobacteriaceae; g,0
956553,Planococcaceae; g,0
549657,Enterobacteriaceae; g,0
2820536,Enterobacteriaceae; g,0
684433,Enterobacteriaceae; g,0
815611,Enterobacteriaceae; g,0
163993,Enterobacteriaceae; g,0
360483,Neisseriaceae; g,0
297797,Enterobacteriaceae; g,0
4365058,Enterobacteriaceae; g,0
3441305,Enterobacteriaceae; g,0
781907,Enterobacteriaceae; g,0
1104970,Gemmatimonadetes; o,0
541119,Enterobacteriaceae; g,0
4434543,Moraxellaceae; g,0
3441309,Enterobacteriaceae; g,0
4367202,Enterobacteriaceae; g,0
299851,Enterobacteriaceae; g,0
4433832,Enterobacteriaceae; g,0
1695235,Enterobacteriaceae; g,0
1118260,Enterobacteriaceae; g,0
691423,Enterobacteriaceae; g,0
4467506,Enterobacteriaceae; g,0
4375000,Enterobacteriaceae; g,0
2558992,Enterobacteriaceae; g,0
288482,Enterobacteriaceae; g,0
560281,Lachnospiraceae; g,0
258373,Enterobacteriaceae; g,0
1072225,Gemellales; f,0
296715,Enterobacteriaceae; g,0
4333845,Ruminococcaceae; g,0
4313005,Enterobacteriaceae; g,0
328955,Clostridiaceae; g,0
125260,Enterobacteriaceae; g,0
166022,Enterobacteriaceae; g,0
351020,Clostridiaceae; g,0
324743,Enterobacteriaceae; g,0
292445,Enterobacteriaceae; g,0
4115208,Enterobacteriaceae; g,0
269791,Enterobacteriaceae; g,0
4310383,Enterobacteriaceae; g,0
164965,Enterobacteriaceae; g,0
815693,Enterobacteriaceae; g,0
4471554,Enterobacteriaceae; g,0
203579,Enterobacteriaceae; g,0
2654265,Enterobacteriaceae; g,0
1114729,Enterobacteriaceae; g,0
60326,Enterobacteriaceae; g,0
551401,Enterobacteriaceae; g,0
3338050,Enterobacteriaceae; g,0
718460,Enterobacteriaceae; g,0
302439,Enterobacteriaceae; g,0
3122165,Enterobacteriaceae; g,0
4308044,Enterobacteriaceae; g,0
581021,Enterobacteriaceae; g,0
608815,Enterobacteriaceae; g,0
681779,Enterobacteriaceae; g,0
810578,Enterobacteriaceae; g,0
318410,Enterobacteriaceae; g,0
2874886,Enterobacteriaceae; g,0
606771,Enterobacteriaceae; g,0
668593,Enterobacteriaceae; g,0
106007,Enterobacteriaceae; g,0
301243,Enterobacteriaceae; g,0
201514,Enterobacteriaceae; g,0
4416450,Acinetobacter; s,0
1670118,Acinetobacter; s,0
3106651,Acinetobacter; s,0
256200,Acinetobacter; s,0
3258594,Acinetobacter; s,0
4481710,Acinetobacter; s,0
378096,Acinetobacter; s,0
4351304,Actinomyces; s,0
255896,Actinomyces; s,0
4421942,Aggregatibacter; s,0
468387,Anaerococcus; s,0
939571,Anaerococcus; s,0
4302355,Atopobium; s,0
413199,Bacillus; s,0
4474995,Bifidobacterium; s,0
826831,Burkholderia; s,0
4430155,Cellulosimicrobium; s,0
73000,Clostridium; s,0
4095035,Clostridium; s,0
317249,Clostridium; s,0
177504,Coprobacillus; s,0
4305822,Corynebacterium; s,0
978568,Corynebacterium; s,0
4310621,Corynebacterium; s,0
920904,Corynebacterium; s,0
211156,Corynebacterium; s,0
987144,Corynebacterium; s,0
4422718,Corynebacterium; s,0
2920135,Devosia; s,0
949136,Enhydrobacter; s,0
4476363,Enhydrobacter; s,0
864940,Enhydrobacter; s,0
238663,Enterobacter; s,0
3848889,Enterobacter; s,0
2529280,Enterobacter; s,0
2016097,Enterobacter; s,0
239199,Enterobacter; s,0
4473417,Enterobacter; s,0
1112688,Enterobacter; s,0
738647,Enterobacter; s,0
809283,Enterobacter; s,0
4418165,Enterobacter; s,0
4430570,Enterobacter; s,0
312551,Enterobacter; s,0
4453611,Enterobacter; s,0
1109671,Enterobacter; s,0
108298,Enterobacter; s,0
4414015,Enterobacter; s,0
3742417,Enterobacter; s,0
2529285,Enterobacter; s,0
806688,Enterobacter; s,0
917969,Enterobacter; s,0
4458922,Enterococcus; s,0
295146,Enterococcus; s,0
4434456,Enterococcus; s,0
689204,Enterococcus; s,0
4410960,Enterococcus; s,0
839152,Enterococcus; s,0
2529162,Enterococcus; s,0
75810,Enterococcus; s,0
509516,Enterococcus; s,0
4356645,Enterococcus; s,0
4411190,Enterococcus; s,0
4465153,Enterococcus; s,0
1137014,Enterococcus; s,0
2288451,Erwinia; s,0
176418,Erwinia; s,0
4365171,Erwinia; s,0
143513,Erwinia; s,0
341740,Erwinia; s,0
1010491,Erwinia; s,0
922761,Erwinia; s,0
819219,Erwinia; s,0
3748191,Erwinia; s,0
236091,Erwinia; s,0
821991,Erwinia; s,0
429887,Escherichia; s,0
736792,Escherichia; s,0
4454062,Escherichia; s,0
640524,Escherichia; s,0
1096610,Finegoldia; s,0
609001,Gardnerella; s,0
271159,Granulicatella; s,0
777667,Granulicatella; s,0
4312340,Haemophilus; s,0
4312797,Haemophilus; s,0
4309340,Haemophilus; s,0
4461718,Halomonas; s,0
262170,Halomonas; s,0
4355340,Janthinobacterium; s,0
4401078,Janthinobacterium; s,0
792427,Klebsiella; s,0
2529276,Klebsiella; s,0
2529277,Klebsiella; s,0
2529283,Klebsiella; s,0
316281,Klebsiella; s,0
566134,Klebsiella; s,0
555915,Klebsiella; s,0
4407468,Klebsiella; s,0
4473834,Klebsiella; s,0
4483809,Klebsiella; s,0
4294723,Klebsiella; s,0
3988508,Klebsiella; s,0
3015663,Klebsiella; s,0
2716047,Klebsiella; s,0
1626578,Klebsiella; s,0
4398672,Klebsiella; s,0
4374146,Klebsiella; s,0
113558,Klebsiella; s,0
44635,Klebsiella; s,0
300365,Klebsiella; s,0
4478105,Klebsiella; s,0
525542,Klebsiella; s,0
534128,Klebsiella; s,0
273616,Klebsiella; s,0
123487,Klebsiella; s,0
4361527,Klebsiella; s,0
154803,Klebsiella; s,0
349243,Klebsiella; s,0
484444,Lactobacillus; s,0
312127,Lactobacillus; s,0
137580,Lactobacillus; s,0
322723,Lactobacillus; s,0
456393,Lactobacillus; s,0
137315,Lactobacillus; s,0
3826599,Lactobacillus; s,0
322250,Lactobacillus; s,0
319144,Lactobacillus; s,0
327852,Lactobacillus; s,0
128247,Lactobacillus; s,0
262701,Lactobacillus; s,0
353746,Lactobacillus; s,0
329660,Lactobacillus; s,0
2116286,Leclercia; s,0
220865,Methylobacterium; s,0
811623,Methylobacterium; s,0
274824,Methylobacterium; s,0
4330772,Methylobacterium; s,0
2660469,Methylobacterium; s,0
100869,Methylobacterium; s,0
4323871,Methylobacterium; s,0
1117760,Methylobacterium; s,0
278680,Methylobacterium; s,0
4443050,Methylobacterium; s,0
4385309,Micrococcus; s,0
59474,Nesterenkonia; s,0
2927689,Oenothera; s,0
2111577,Pantoea; s,0
4429718,Pantoea; s,0
4260083,Pleomorphomonas; s,0
4465405,Porphyromonas; s,0
979802,Propionibacterium; s,0
1051681,Propionibacterium; s,0
362140,Propionibacterium; s,0
2554770,Pseudomonas; s,0
286623,Pseudomonas; s,0
4324934,Pseudomonas; s,0
1134318,Pseudomonas; s,0
4297585,Pseudomonas; s,0
4393812,Pseudomonas; s,0
635665,Pseudomonas; s,0
1566691,Pseudomonas; s,0
2773870,Pseudomonas; s,0
4297096,Ralstonia; s,0
1108904,Ralstonia; s,0
561522,Ralstonia; s,0
4399824,Raoultella; s,0
626127,Raoultella; s,0
4330327,Rothia; s,0
904199,Rothia; s,0
248512,Salmonella; s,0
4384058,Salmonella; s,0
323252,Sediminibacterium; s,0
222043,Serratia; s,0
296868,Serratia; s,0
273603,Serratia; s,0
811733,Serratia; s,0
24848,Serratia; s,0
623486,Serratia; s,0
65398,Serratia; s,0
272941,Serratia; s,0
524245,Serratia; s,0
1780081,Shigella; s,0
4349524,Shigella; s,0
3577073,Sphingomonas; s,0
814254,Sphingomonas; s,0
4320250,Staphylococcus; s,0
4436370,Staphylococcus; s,0
963964,Staphylococcus; s,0
427545,Staphylococcus; s,0
360940,Staphylococcus; s,0
112576,Staphylococcus; s,0
362084,Staphylococcus; s,0
356733,Staphylococcus; s,0
4484047,Streptococcus; s,0
4317939,Streptococcus; s,0
3122374,Streptococcus; s,0
1087686,Streptococcus; s,0
986542,Streptococcus; s,0
4452867,Streptococcus; s,0
1004369,Streptococcus; s,0
302201,Streptococcus; s,0
959582,Streptococcus; s,0
4439603,Streptococcus; s,0
935146,Streptococcus; s,0
974431,Streptococcus; s,0
4436165,Streptococcus; s,0
2458919,Streptococcus; s,0
931950,Streptococcus; s,0
4326311,Streptococcus; s,0
3444723,Streptococcus; s,0
4448940,Streptococcus; s,0
4321386,Streptococcus; s,0
972940,Streptococcus; s,0
4320158,Streptococcus; s,0
1002154,Streptococcus; s,0
254347,Streptococcus; s,0
997145,Streptococcus; s,0
987875,Streptococcus; s,0
4465544,Streptococcus; s,0
4322647,Streptococcus; s,0
4361072,Veillonella; s,0
4359990,Veillonella; s,0
3143426,Veillonella; s,0
3621083,Veillonella; s,0
4414316,Veillonella; s,0
4352534,Veillonella; s,0
4395904,Veillonella; s,0
4196769,Veillonella; s,0
4380365,Veillonella; s,0
4336189,Veillonella; s,0
123969,Veillonella; s,0
4296244,Veillonella; s,0
3145472,Veillonella; s,0
4307413,Veillonella; s,0
3209977,Veillonella; s,0
4380020,Veillonella; s,0
431435,Veillonella; s,0
519302,Veillonella; s,0
3218245,Veillonella; s,0
4425917,Veillonella; s,0
4455822,Veillonella; s,0
4266230,Veillonella; s,0
4410401,Veillonella; s,0
4308271,Veillonella; s,0
4374753,Veillonella; s,0
4326711,Veillonella; s,0
4346668,Veillonella; s,0
4295368,Veillonella; s,0
4418363,Veillonella; s,0
4404727,Veillonella; s,0
4453501,Veillonella; s,0
4302506,Veillonella; s,0
4392386,Veillonella; s,0
4386879,Veillonella; s,0
3506870,Veillonella; s,0
4393117,Veillonella; s,0
4391230,Veillonella; s,0
